timestamp,original_filename,output_filename,batch_id,duration,status,error,cluster_db_path,model,language,threads,speakers,max_offset,max_len,split_on_word,vad_enabled,task_id
2026-05-10 19:55:45,val_chunk_0043.wav,,20260510_1953,2.27,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0045
2026-05-10 19:55:47,val_chunk_0044.wav,,20260510_1953,2.24,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0046
2026-05-10 19:55:50,val_chunk_0045.wav,,20260510_1953,2.45,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0047
2026-05-10 19:55:52,val_chunk_0046.wav,,20260510_1953,2.27,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0048
2026-05-10 19:55:54,val_chunk_0047.wav,,20260510_1953,2.35,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0049
2026-05-10 19:55:57,val_chunk_0048.wav,,20260510_1953,2.27,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0050
2026-05-10 19:55:59,val_chunk_0049.wav,,20260510_1953,2.70,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0051
2026-05-10 19:56:02,val_chunk_0050.wav,,20260510_1953,2.31,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0052
2026-05-10 19:56:04,val_chunk_0051.wav,,20260510_1953,2.41,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0053
2026-05-10 19:56:06,val_chunk_0052.wav,,20260510_1953,2.32,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0054
2026-05-10 19:56:09,val_chunk_0053.wav,,20260510_1953,2.48,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0055
2026-05-10 19:56:16,val_chunk_0054.wav,,20260510_1953,7.32,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0056
2026-05-10 19:56:22,val_chunk_0055.wav,,20260510_1953,5.36,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0057
2026-05-10 19:56:24,val_chunk_0056.wav,,20260510_1953,2.28,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0058
2026-05-10 19:56:26,val_chunk_0057.wav,,20260510_1953,2.36,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0059
2026-05-10 19:56:29,val_chunk_0058.wav,,20260510_1953,2.26,FAIL,name 'final_json_path' is not defined,,C:/ameva/AI_Models/ggml/ggml-shuka-tiny.bin,ko,8,0,1.5,15,True,False,TASK-0060
